sscl1,sscl2,n,a,b,c1,c2,astar,bstar,cstar1,cstar2
DEKL/BC,GHKL/I,1,True,True,False,False,True,True,True,True
BCEK/DL,FHJ/GL,1,True,True,True,True,True,True,True,False
DEKL/BC,FJ/H,1,True,True,False,False,True,True,True,False
DEKL/BC,FH/,1,True,False,False,False,True,True,True,False
BCK/DEL,K/FGHIJL,1,True,True,True,True,True,False,True,True
DL/BCEK,FGHL/IJK,1,True,True,True,True,True,True,True,True
DEL/BCK,FGHL/K,1,True,False,True,True,True,True,True,True
DEKL/BC,GKL/FHJ,1,True,True,False,False,True,True,True,True
CDEKL/B,GHKL/FIJ,1,True,True,False,False,True,True,True,True
DL/BCEK,IJ/K,1,True,False,True,True,True,True,True,False
DEKL/BC,FIJ/H,1,True,True,False,False,True,True,True,False
BCEK/DL,FJ/GHL,1,True,True,True,True,True,True,True,False
CDEKL/B,GIKL/H,1,True,True,False,False,True,True,True,True
DEKL/BC,FGHKL/,1,True,False,False,False,True,True,True,True
DEKL/BC,FGHIJKL/,1,True,False,False,False,True,True,True,True
DEL/BCK,FHJ/IK,1,True,True,True,True,True,True,True,False
BCDEKL/,GKL/IJ,1,False,True,False,False,True,True,True,True
DEKL/BC,FGHIKL/J,1,True,True,False,False,True,True,True,True
DEKL/BC,FGHIKL/,1,True,False,False,False,True,True,True,True
DEKL/BC,FJ/,1,True,False,False,False,True,True,True,False
DEL/BCK,FIJ/K,1,True,False,True,True,True,True,True,False
BCK/DEL,FH/GL,1,True,True,True,True,True,True,True,False
BCK/DEL,H/GL,1,True,True,True,True,True,True,True,False
DEKL/BC,FGHKL/I,1,True,True,False,False,True,True,True,True
BCDEKL/,GHKL/FIJ,1,False,True,False,False,True,True,True,True
DL/BCEK,F/IJK,1,True,True,True,True,True,True,True,False
BCEK/DL,K/GL,1,True,True,True,True,True,False,True,True
BCEK/DL,G/L,1,True,False,True,True,True,True,True,False
DEKL/BC,FGHKL/IJ,1,True,True,False,False,True,True,True,True
DEKL/BC,GIKL/,1,True,False,False,False,True,True,True,True
DL/BCEK,FHJ/IK,1,True,True,True,True,True,True,True,False
BCEK/DL,J/FGHL,1,True,True,True,True,True,True,True,False
DEL/BCK,FJ/IK,1,True,True,True,True,True,True,True,False
BCEK/DL,K/FGHL,1,True,True,True,True,True,False,True,True
DEKL/BC,GIKL/FHJ,1,True,True,False,False,True,True,True,True
DEKL/BC,J/F,1,True,True,False,False,True,True,True,False
BCEK/DL,K/FGHJL,1,True,True,True,True,True,False,True,True
DEKL/BC,FGHJKL/I,1,True,True,False,False,True,True,True,True
BCK/DEL,G/L,1,True,False,True,True,True,True,True,False
BCDEKL/,GKL/FHJ,1,False,True,False,False,True,True,True,True
CK/ADEL,IJK/FGHL,1,True,True,True,True,True,True,True,True
CDEK/AL,FH/GL,1,True,True,True,True,True,True,True,False
ADEL/CK,GL/IK,1,True,True,True,True,True,True,True,True
A/CDEKL,H/GIKL,3,True,True,True,True,True,True,False,False
A/CDEKL,IJ/FGHKL,3,True,True,True,True,True,True,False,False
A/CDEKL,I/GKL,3,True,True,True,True,True,True,False,False
CK/ADEL,FHIJ/GL,1,True,True,True,True,True,True,True,False
A/CDEKL,FH/GIJKL,3,True,True,True,True,True,True,False,False
ADEL/CK,F/IJK,1,True,True,True,True,True,True,True,False
AL/CDEK,IJ/K,1,True,False,True,True,True,True,True,False
CDEKL/A,GKL/I,1,True,True,False,False,True,True,True,True
AL/CDEK,FGHJL/K,1,True,False,True,True,True,True,True,True
ADEL/CK,IJ/K,1,True,False,True,True,True,True,True,False
